Catalog Number, Description, 2022, 2021, 2020, 2019
2707020, 200UL LR TIP RACK RELOAD, 21.86, 20.23704, , 
2707102, 1-200UL THIN WALL BULK 1000/PK, 22.37, 22.37, , 
2707138, 1-200UL RND GEL LOAD-NS 960/PK, 59.29, 55.21932, 55.72, 
2707181, GEL LOAD TIP 200UL 1000/PK, 41.69, 41.69, 42.89, 
270730, 0.2-10UL P2/P10 TIP 960/PK, 74.6, 70.98, 70.98, 69.92
2707361, 2.0ML SKRT TB W TC STRL 500PK, 91.76, 71.98, , 70.92
2707400, 1250UL TIP BULK 1000/PK, 16.91, 15.629759999999997, 15.93 (matched with similar item: 02707405), 
2707403, 1250UL TIP RACK RELOAD 960/PK, 25.61, 22.85172, 23.06, 
2707404, 1000UL FLTR TIP STR 960/PK, 50.56, 46.76292, 47.19, 47.4
2707410, 300UL TIP STER RACK 960/PK, 32.0, 25.55388, 25.79, 
2707411, 300UL TIP RACK RELOAD 960/PK, 24.96, 23.25024, , 
2707414, 200UL TIP RACK RELOAD 960/PK, 19.21, 17.26272, 17.42, 
2707415, 200UL TIP RACK 960/PK, 23.47, 20.24676, , 
2707416, 200UL TIP RACK STER 960/PK, 24.37, 19.07, 21.82 (matched with similar item: 02707413), 
2707417, 200UL TIP RACK RELOAD 960/PK, 18.94, 17.6418, 17.8, 
2707419, 200UL TIP RACK STER 960/PK, 25.23, 21.51036, 21.7, 
2707420, 200UL TIP RACK RELOAD 960/PK, 18.6, 16.387919999999998, 16.54, 
2707422, 200UL TIP RACK STER 960/PK, 25.54, 18.49716, 19.03, 
2707423, 200UL TIP RACK RELOAD 960/PK, 19.0, 16.387919999999998, 16.54, 
2707426, 200UL TIP RACK RELOAD 960/PK, 18.97, 16.387919999999998, 16.54, 
2707429, 200UL TIP RACK RELOAD 960/PK, 18.4, 16.387919999999998, 17.42 (matched with similar item: 02707414), 
2707430, 200UL TIP STER FLTR 960/PK, 48.65, 45.01332, 45.42, 
2707431, 100UL TIP STER FLTR 960/PK, 48.99, 45.31464, 45.72, 
2707432, 20UL TIP STER FLTR 960/PK, 50.43, 46.636559999999996, 47.06, 47.27
2707436, 10UL TIP RACK 960/PK, 25.54, 21.49092, 21.68, 
2707438, 10UL TIP RACK RELOAD 960/PK, 21.61, 17.96256, 18.12, 
2707439, 10UL TIP STER FLTR 960/PK, 48.01, 44.39124, 44.8, 45.0
2707442, 10UL TIP STER FLTR 960/PK, 49.7, 45.97559999999999, 46.4, 46.61
2707446, 200UL TIP BULK 1000/PK, 11.46, 10.5948, , 
2707450, 200UL TIP BULK 1000/PK, 10.96, 10.12824, , 
2707454, 10UL TIP BULK 1000/PK, 10.95, 10.12824, , 
2707456, 10UL TIP STER FLTR 960/PK, 54.64, 52.73, 44.8 (matched with similar item: 02707439), 45.0 (matched with similar item: 02707439)
2707469, 10UL XLTIP CLR RL GRAD 960/PK1, 31.5, 29.33496, 29.61, 
2707478, 200UL TIP RL FILST GRAD 960/PK, 49.24, 45.86868, 46.28, 46.49
2707480, 1ML XLTIP RL FILST GRAD 560/PK, 32.02, 32.02, 32.94, 
2707500, 200UL YLLW BEVLDTIP BLK1000/PK, 19.93, 19.93, 20.5, 
2707507, 1000UL BLUE TIP BULK 1000/PK1, 25.73, 25.73, 25.8, 
270781, 1-200ULRD68MMX0.6MMSTR 1020/PK, 54.69, 54.31, 54.46, 
2717133, 10U LOW RETEN PPT BAGD 1000/PK, 29.12, 29.12, 29.2, 
2717157, 10UL LOW RETEN FLTR PPT 960/PK, 43.25, 41.14, 41.14 (matched with similar item: 02717158), 
2717158, 10UL LOW RETEN FLTR PPT 960/PK, 43.25, 41.14, 41.14, 
2717351, EP LORET RLOAD TIP 200UL 960PK, 89.72, 93.66, , 
28838D, CAP AUTOC PTFE 15-415MM 288/CS, 391.54, 391.54, , 
28935D, BOTTLE WM HDPE 8OZ W/CAPS 12PK, 89.55, 83.89, , 
28951A, BTL WM BULK HDPE 4OZ 500/CS, 247.24, 233.2, , 
28962D, BOTTLE WM 250ML 12/PK, 15.83, 15.83, , 
2912003, BTLAMBWM CRTCLN W/PTFE16OZ12CS, 82.42, , , 
2912728, CRYOELITE 2ML FS PTCH 500CS, 235.04, 235.04, 241.81, 238.35
2913107, CAP 13MM GRN UR F217PTFE 500CS, 204.5, 199.46, 189.71, 
2923203, 5MLPIPETTE PAPER PEEL CS200, 62.95, 69.18, , 
2923204, 10MLPIPETTE PAPER PEEL CS200, 75.56, 79.56, , 
2923205, 25MLPIPETTE PAPER PEEL CS200, 161.12, 166.65, , 
2923220, EZ FLIP PP TUBE 15ML RACKED CA, 228.43, 214.13, , 
2923221, EZ FLIP PP TUBE 50ML BULK CASE, 286.38, 286.38, , 
2923222, EZ FLIP PP TUBE 50ML RACKED CA, 419.29, , , 
292330B, BOTTLE NM FEP 8 OZ 4CS, 587.64, 575.61, , 
292415C, BOTTLE WM FEP 8OZ 4CS, 676.7, 662.96, , 
29246B, BOTTLE NM LDPE 2OZ 12/PK, 33.43, 30.92, 29.96, 
29246C, BOTTLE NM LDPE 4OZ 12/PK, 42.62, 40.0, 38.85, 
29251H, JAR STR SIDE WM PC 500ML 4/PK, 117.05, 111.57, , 
29251J, JAR STR SIDE WM 1000ML 4/PK, 137.38, 130.59, 127.13, 
296015, CARBOY HEAVY DUTY PP 20L 1PK, 448.58, , , 
2961A, CARBOY W/HANDLES LDPE 20L, 208.62, 204.39, , 
2963BB, CARBOY W/SPIG LDPE 5.5GAL, 331.85, 314.8, 305.26, 
29632A, CARBOY W/SPIGOT PP 10 LITER, 323.72, 302.69, 293.12, 
29632B, CARBOY W/SPIGOT PP 20 LITER, 403.01, 377.06, 365.96, 
29635C, CARBOY RECT W/SPIGOT PP 20L, 437.58, 408.19, 394.57, 
29637, SPIGOT QUICK ACTION PP/TFE, 65.2, 65.2, 67.08, 
2991551, 10DR C T1 VL PTFESIL TOC 80CS, 321.02, 321.02, , 
2992140, 16OZ CL BR BKPH RBR 12CS, 38.44, 38.3, 35.66, 
2992428, 2OZ CL SSR TH F217 PTFE 24CS, 90.17, 89.88, , 
3001134, EPS SHPPR FOAM/CORRUGATE 36/PK, 262.05, , , 
3007647, FB CARBOY RECT 9L PP W SPIGOT, 56.73, 56.73, , 
3007648, FB CARBOY RECT 20L PP W SPIGOT, 73.24, 73.24, 73.44, 
3060049, MSCERT ASMB C4000-2W C5000-64B, 150.47, 144.08, , 
3060050, MSCERT ASMBC4000LV3W C5000-64B, 110.08, 100.34, 91.05, 
3060051, MSCERT ASMBC4000LV3W C5000-64B, 115.97, 105.66, 91.05 (matched with similar item: 03060050), 
308342, BTL RND WM W/CAP HDPE 72/CS, 319.99, 319.99, , 
3110MI, RIPAB+ AGO2 CLONE 9E8.2, 463.39, 479.87, , 
3150190, TR-5 30M X .25MM X .25UM GC, 726.87, 747.94, , 
3170321, 10UL SYR FN 50MM, 84.77, 84.77, 80.34, 
3170542, 5UL SYR AGILENT FN 23/26 6PK, 511.89, 523.78, 485.11, 
3246317, 11MM SNP PNK CAP W/SPTA 100/PK, 36.43, 33.31, , 
3250403, HYPERCARB SEP 500MG 6ML 20/PK, 700.54, , , 
3250410, HYPERCARB 96-WELL 25MG 1ML, 504.75, 509.74, , 
3251158, C18 SPE COLUMN 500MG 3ML 50PK, 152.36, 150.51, 136.42, 
3251861, CAP 11MM SCR S/T BND 100/PK, 18.47, 21.27, , 
3251869, EASY-SPRAY EMITTER NANOFLOW, 686.55, 683.62, , 
3251871, ESYSPRY PPMP C18 3UM15CMX75UM, 831.8, 799.83, , 
3253901, CHOICE SYRFLTR 25MM 0.2UM NYL, 65.24, 66.77, , 
33111X, BTL SQ MEDIA STR 2000ML 12/CS, 228.95, 224.05, , 
3312AA, BOTTLE SQUARE HDP 2 OZ 12/PK, 50.67, 47.35, 45.96, 
331311B, BTL PKG NM HDPE 60ML 1000/CS, 692.98, 658.13, , 
331315C, BTL PKG WM HDPE 125ML 500/CS, 431.49, 416.85, , 
331315D, BTL PKG WM HDPE 250ML 250/CS, 321.68, 310.47, , 
331378E, BTL BLK NM HDPE 250ML 250/CS, 523.61, , , 
331379F, BTL BLK WM HDPE 1000ML 50/CS, 385.52, 372.73, , 
333714, SCINTILLATN VIAL 20ML 500/CS, 126.21, 118.53, 118.53, 110.05
333715, VIAL SCINT 20ML GLASS 500/CS, 125.51, 125.51, 125.74, 252.37 (matched with similar item: 0334025N)
333723C, VIAL SCIN 20ML PE W/CL 500/CS, 108.65, 106.68, 101.61, 101.14
333726, VL SCINT 7ML SLVNT SVR 1000/CS, 249.78, 249.78, 250.43, 285.99 (matched with similar item: 03340128)
33374, VIAL SCINT 20ML GL/P 500/CS, 118.39, 114.44, 114.69, 114.69
33375, VIAL SCINT 20ML GL/M 500/CS, 128.39, 120.91, , 121.18
33377, VIAL SCINT 20ML GL 2/C 500/CS, 197.2, 197.2, , 
33377C, VIAL CRYOGENIC 1.2ML 500/CS, 303.32, 271.35324, 279.17, 280.43
33377D, VIAL CRYOGENIC 2.0ML 500/CS, 295.58, 274.80384000000004, 282.72, 284.0
33377N, VIAL CRYOGENIC BULK 1.2ML M/CS, 577.89, 564.73, 546.77, 409.42
33377W, VIAL CRYOGENIC STER 2.0ML M/CS, 546.14, 472.85856, 486.48, 488.68
33377X, VIAL CRYOGENIC 1.0ML PP 500/CS, 318.57, 282.35628, 290.49, 291.8
33377Y, VIAL CRYOGENIC 1.5ML PP 500/CS, 305.02, 273.98735999999997, 281.88, 283.15
3338A, SMPL VIAL SCRW CP 1/DR 144/PK, 32.14, 33.12, , 
3338AA, SMPL VL SCRW CP 1/2 DR 144/PK, 27.79, 28.69, , 28.33
3338C, SMPL VIAL SCRW CP 2 DR 144/PK, 27.65, 28.55, 28.24, 28.24
333919A, VIAL S-THRD W/O CAP 1DR 144/PK, 70.79, 70.79, , 
333921A, VIAL ST W/CLOSURE .5DR 144/PK, 33.96, 34.96, 30.59 (matched with similar item: 0333925A), 30.59 (matched with similar item: 0333925A)
333921B, VIAL ST W/CLOSURE 1DR 144/PK, 22.82, 23.56, , 23.36
333921D, VIAL ST W/CLOSURE 2DR 144/PK, 31.82, 32.68, , 
333921E, VIAL ST W/CLOSURE 3DR 144/PK, 28.38, 29.23, 28.89, 28.89
333921F, VIAL ST W/CLOSURE 4DR 144/PK, 32.62, 33.75, 33.42, 33.42
333921G, VIAL ST W/CLOSURE 6DR 144/PK, 34.71, 35.97, , 35.5
333921H, VIAL ST W/CLOSURE 8DR 144/PK, 37.59, 38.72, 38.37, 38.37
333922B, VIAL ST W/CLOSURE 1DR 144/PK, 35.19, 36.13, , 23.36 (matched with similar item: 0333921B)
333923B, VIAL ST AMB W/CAP 1DR 144/PK, 42.17, 43.57, , 
333925B, VIAL 4ML RUB/LND CAP 144/PK, 24.76, 25.39, 25.14, 25.14
333926D, VIAL SHELL W/CAP 3DR 144/PK, 41.41, 42.78, , 
33401A, VIAL SCREW CAP 1/2 DRAM 72/PK, 29.04, 29.04, 28.78, 
3340131, CLSUR WHT UREA PTFE LNR 500/CS, 428.37, 428.37, , 
334014A, CLOSURE W/LINE 24-400T 144/CS, 194.13, 194.13, , 
334025P, VIAL SCINT 20ML GLASS 500/CS, 285.32, 285.32, 293.54, 252.37 (matched with similar item: 0334025N)
3340620, 300UL TARGET DP PP VIAL 100/PK, 33.55, 33.38, , 
334125C, VIAL SCINT 20ML GLASS 500/CS, 193.74, 193.74, 199.32, 203.36
334125D, VIAL SCINT 20ML GLASS 500/CS, 207.61, 207.61, 213.59, 217.23
334125E, VIAL SCINT 20ML GLASS 500/CS, 210.71, 210.71, 125.74 (matched with similar item: 0333715), 220.49
334125G, VIAL SCINT 20ML W/CAP 500/CS, 255.23, 255.23, 262.58, 
334125J, VIAL SCIN 20ML UR/PL 500/CS, 271.77, 271.77, 279.6, 280.49
334175C, VIAL CLEAR PP 60ML 600/CS, 143.81, 134.61, , 144.64
33423, VIAL SCINT SNPTWIST 6.5ML M/CS, 138.74, 129.94, , 117.01
33436B, VIAL SMP PTFE CAP2ML CL 200/CS, 158.73, 158.73, 157.49, 
3374059, CRYGNC VIAL SILCONE WSHR 250CS, 143.88, 129.24, 132.96, 129.09
337420, CRYOVIAL SS 1.2ML 500/CS, 244.28, 226.44, 232.96, 234.01
337421, CRYOGVIAL SS 2ML 500/CS, 259.33, 239.49, 246.39, 247.5
337424, VIAL CRYOGENIC SS 4ML 500/CS, 476.47, 476.47, , 327.04
33751A, POLYSPRING INSERT 100UL 100/PK, 89.95, 86.4, 81.6, 
337516A, VIAL CLR SCREW 12X32MM 100/PK, 39.16, 39.14, 37.13, 25.31
337518E, TARGET POLYSPRNG INS PP 100/PK, 70.84, 67.57, 65.06, 46.56
337520G, ASMB KIT SHIMADZU CLR 100/PK, 85.77, 85.77, , 
33753AS, SILANZD TARGT PLYSPRNG 100/PK, 153.01, 146.96, , 
33753B, TARGT VL MICROSRT 400UL 500/PK, 79.57, 75.84, 73.53, 
33759, VIAL RACK FOR 12X32MM VIALS, 34.22, 35.65, , 
3376479, SCREW CAP BLUE PTFE 9MM 100/PK, 35.72, 33.82, 33.87, 25.91
3376480, C5000TRGTDP PTFE/SIL/PTFE SEP, 41.98, 39.98, 38.39, 38.56
3376481, C5000TRGTDP BLUE PTFE/WHTESIL, 32.41, 31.28, 30.1, 
3376602, 2ML AMBR GLASS W/ID PATCH100PK, 35.96, 35.82, , 
3377D, VIAL ID DP TARGT AMB 100/PK, 35.59, 35.59, 33.65, 30.2
3377154, TRGT SYR FLT 17MM .2UM 100/PK, 295.26, 153.79, 149.11, 144.43
337720, SYRINGE DSP PLSTC LS 1ML 100PK, 64.46, 65.81, 64.25, 
337723, SYRINGE DSP PLST LC 10ML 100PK, 63.52, 66.72, 63.85, 
3377299, PLST CRMPTOP VLS 300UL 100/PK, 23.78, 23.21, 22.36, 22.39
337732, EPA VAL KT BLK CP UNAS. 100/PK, 462.44, 461.35, , 
3378621, 18MMMGSCRWCPSIL/PTFE SEP125PK, 125.6, , , 
3379117, AVCS YLW CAP WITH T/RR SEPTA, 36.46, 34.52, 23.81, 
339072, BTL SQ PT 125ML W/CLS STR 96CS, 157.5, 157.5, , 
3391106, LASERLABEL 1.5 WHT 1700/PK, 130.65, , 81.86 (matched with similar item: 15930C), 
339112C, CAP SOLID TOP PTFE 15-425 C/CS, 77.38, 77.24, 72.89, 41.98
339112F, CAPS PTFE LND 24-400 100/CS, 139.46, 138.75, 122.32, 
339114, CAP/SPTA 9MM BL PTFE/SIL 100PK, 17.28, 17.1, 17.15, 
339115, KIT 9MM S/T CLR PTF/SILI 100PK, 29.79, 29.72, , 28.13
3391270, TUBE CENTRIFUGE 5ML CLR 200PK, 52.03, 48.18, 38.9, 37.61
3391276, TUBE CENTRIFUGE 5ML CLEAR STRL, 56.4, 53.18, , 41.62
33913, SEAL 11MM PTFE/RED RUB 100PK, 6.57, 6.53, 6.9, 6.9
33913B, TRGT SYR FLT17MM NY.20UM 100PK, 148.81, 153.63, 148.14, 142.8
33915, VL 2ML CLR 11MM LGID C/T 100PK, 11.47, 11.34, 10.68, 
3391514, CARDBOARD 2  MINI BOX 25-PL, 4.84, 5.21, , 4.95
3391542, BASINS 100ML 100/CS, 667.97, , , 
3394E, SEPTA PTFE/SIL F/8-425 100/PK, 38.05, 37.04, , 
3395C, VIAL CLR TARGET 11MM 100/PK, 33.96, 34.21, 26.09, 22.23
3395196, PIPETTE SERO 10ML 200/CS, 59.95, 62.44 (matched with similar item: 03395176), , 
3395454, CRYO FIBERBOX WT 5X5X4, 17.33, 17.33, , 
3395455, CRYO FIBERBOX WT 5X5X2, 2.13, 2.13, 2.12, 
3395456, CRYO FIBERBOX WT 5X5X3, 8.6, 8.6, , 
3395457, CRYO CELL DIVIDERS 100 CELL, 3.33, 3.33, , 
3395458, CRYO CELL DIVIDERS 81 CELL, 5.87, 2.6, , 2.49
3395464, 81PL CRYO FIBERBOX WT 5X5X2, 5.99, 5.99, 5.98, 
3395465, 100 PL CRYO FIBERBOX WT 5X5X2, 10.5, 10.5, 10.41, 
3395466, UPRIGHT METAL FRZER RK 2 5X4, 470.89, 470.89, , 
3395469, UPRIGHT METAL FRZER RK 2 4X5, 371.16, 161.18 (matched with similar item: 03395482), , 
3395480, UPRIGHT METAL FRZER RK 2 3X5, 121.19, 118.17, , 
3396A, T5MP SEAL PTFE/RUBBR 100/PK, 38.66, 37.81, 35.75, 
3396D, SNAP SEAL RD PTFE/RUB 100/PK, 38.27, 37.43, 34.5, 28.2
3396M, SNAP SL BLU T/S/T 1000/CSSNAP, 575.85, 565.59, , 
3396Q, SNAP SEAL YLW T/S/T 100/PK, 60.54, 59.95, 56.73, 47.54
3396X, SNP SEAL CL PTFE/SIL W/SLTC/PK, 59.75, 59.32, , 
3396Y, SNP SEAL BL PTFE/SIL W/SLTC/PK, 61.18, 60.02, 57.16, 
339667, TRGT SNP CAP STAR T/S 100PKTR, 71.44, 71.44, 68.77, 53.01
339715, TRGT C/T VIAL CLR 500UL 100/PK, 104.03, 105.61, 100.15, 100.07
339716, TRGT C/T VIAL AMB 250UL 100PK, 126.36, 126.36, , 122.99
339735, AMBER MACROVIALINSERT 100/PK, 119.26, 119.26, 113.14, 122.28
340910E, WASH BOTTLE LDPE 500ML 4/PK, 24.55, 23.1, 22.37, 
3411700, RED BIOHZRD BAG 2-4GAL 200/PK, 100.91, 95.05, , 
3411702, 03411703ZRD BAG 15-20GAL 200PK, 341.36, 339.67, , 
343812A, BTL DY SPRY MIST DSP 16OZ 6/PK, 87.03, 83.89, , 
343812B, BOTTLE DY SPRAY MIST DISP 32OZ, 17.9, 17.3, , 
3446, BOX F/100 SLIDES LABCRAFT BAND, 4.16, 4.1, 3.84, 
34481, BOX MICROSCOPE SLIDE 100P BLUE, 35.39, 35.03, , 
344810, BOX MICROSLIDE 25 PLACE WHITE, 22.91, 22.61, , 
344811, FOUR-WAY MCRTUB RCKS NTRL 5/PK, 50.32, 52.2, , 
344812, FOUR-WAY MCRTUB RCKS BL 5/PK, 50.32, 52.2, , 
344813, FOUR-WAY MCRTUB RCKS GR 5/PK, 50.32, 52.2, , 
344814, FOUR-WAY MCRTUB RCKS PNK 5/PK, 50.32, 52.2, , 
344816, FOUR-WAY MCRTUB RCKS OR 5/PK, 50.32, 52.2, , 
344817, FOUR-WY MCRTB RCKS ASSRT 5/PK, 50.32, 52.2, 49.07, 
34482, BOX MICROSCOPE SLIDE 100PGREEN, 35.39, 35.03, , 
344820, 96WELL TUB RCK .2PCR TUBS 5/PK, 56.77, 58.83, , 
344824, RBER BULBS AMBR LATEX 2ML 12PK, 38.78, 38.18, , 
34485, BOX MICROSCPE SLIDE 100P WHITE, 35.39, 35.03, 29.91, 
34755, PIPET PASTEUR CAN SS 2X2X91/4, 43.02, 43.02, , 
3500733, MIDI SUBMARINE SYSTEM, 658.1, , , 
352536, INSULTED MAILER 6WX8LX7H 12/PK, 205.66, 200.45, 186.92, 
3530010, ICEBURG 7OZ POLAR PACK 72/PK, 74.19, 72.06, 66.17, 
353017, BIOMAILER INSUL W/CARTON 4/PK, 117.14, 113.92, 105.86, 
353032, BIOMAILER INSUL W/CARTON 2/PK, 79.54, 76.95, , 
353052, MULTI-PURP BIO-MAILER 8/PK, 151.66, 147.57, 137.3, 
3531, SERUM BIO-MAILER 12/PK, 190.54, 185.78, 174.65, 
3600143, 41 CU FT PALLET SHIPPER, 721.98, , , 
3699, TUBE PA THINWALL 12ML PK/50, 391.09, , , 
370012A, BURET W/PTFE STOPCOCK 25ML, 141.57, , , 
370020C, BURET W/PTFE PLUG 50ML 1CS, 172.95, 172.95, , 
3989, TUBE PA ULTRACRIMP 35ML PK/25, 266.12, 265.94, , 259.16
4100504, CLIPTIP 300 EXT FILTERST768PK, 85.13, , , 
4100510, CLIPTIP 12.5EXT FILTERST960PK, 101.05, 91.46, 94.09, 
4100511, CLIPTIP 384 12.5 EXT FILTERST, 550.93, , , 
43204, SPARKLEEN I MANWSH 3-1/4LB BOX, 56.03, 56.03, 55.29, 
43551, CONTRAD 70 DETERGENT 5 LITER, 133.73, 139.15, 136.48, 
4355121, CITRISOLV HYBRID 1 GALLON, 119.56, 122.8, 120.54, 
435516, BACDOWN HANDSOAP 1 LITER, 33.32, 34.55, 33.12, 
435517, BACDOWN HANDSOAP 5 LITER, 107.69, 111.38, 106.07, 
4355222, ETHANOL PUR 200PRF 1PINT 24/CS, 137.4, 137.4, 141.36, 
4355226, ETHANOL PURE 190PRF 1GAL 4/CS, 133.26, 133.26, 137.1, 
4355305, ETHYL ALCOHOL 140 PROOF 4/CS, 140.77, 140.77, 144.82, 
4355451, ETH ALC 200PRF TX INC 1 GAL, 155.23, 160.13, 158.1, 
4355454, ETH ALC 190 PRF GAL TX INC, 169.87, 174.87, , 
4355455, ETH ALC 190 PRF 5 GAL TAX INC, 771.05, 799.95, 793.05, 
435555, CONTRAD 100 20L, 275.65, 286.67, , 
4355721, ETHYL ALCHL USP200PRF GLSS 4CS, 601.87, 622.66, 617.44, 
47150, (+)-U-50488 HYDROCHLORI 50 MG, 680.57, , , 
5375107, REPLCMNT CLICKSEAL LID MICR, 392.99, 404.89, , 
5401507, RTR 18XCRYO TUBE W/LID (5430), 884.36, , , 
5402, TUBES 1.5ML NATURAL 500/PK, 34.19, 30.23892, 31.11, 30.08
540218, TUBE SAFE-LCK 500UL NAT 500/PK, 53.92, 53.92, , 54.1
540225, TUBE SAFE-LCK 1.5ML NAT 500/PK, 50.51, 50.51, 51.96, 50.21
54027, TUBE SAFE-LOCK 2ML NAT 500/CS, 53.92, 53.92, 55.47, 54.1
540294, 500EP PCR SAFLCK TB1.5ML 500PK, 71.28, 71.28, 73.33, 
540296, 500EPP PCR FLEXTBE 1.5ML 500PK, 44.95, 44.9, , 44.86
540298, SAFE-LOCK TUBE 1.5ML 5000/CS, 520.26, 521.06, , 
5402986, BUCHI VACUUM GASKET KD-22, 130.3, 130.3, , 
5403116, EPPNDRF TIP BLK 0.5-10ML 200PK, 53.84, 53.84, 55.39, 54.16
5403119, EPPENDORF TIP BULK 10ML 200PK, 64.24, 64.24, , 
540338, EPTPS RLD0.1-10UL 10TRYS 960CS, 90.8, 90.8, , 
540341, EPTIPS RELOADS 200UL 960/PK, 65.39, 65.39, 67.27, 65.35
540343, EPTIPS RELOADS 1000UL 960CS, 74.3, 74.3, 76.44, 73.67
540351, EPTPS RLDS50-1000UL PCR 960/CS, 84.46, 84.46, 86.89, 
540352, EPTPS RLDS50-1250UL PCR 960/CS, 118.23, , , 
540355, EPTPS BLK 0.1-20UL 1000/CSEPT, 75.19, 75.19, , 
540357, EPTPS 200UL NS BULK 1000/CS, 56.39, 56.39, 58.01, 56.64
540359, EPTPS BLK 50-1000UL 1000/CSEP, 61.25, 61.25, 63.01, 61.72
540361, EPTPS BLK0.25-2.5ML 500TP500CS, 75.19, 75.19, 77.36, 
540362, EPTPS BLK 0.1-5ML 500TP 500/CS, 104.07, 104.07, 107.07, 
5405177, ESSENTIAL CARE R-100 SYS, 303.25, , , 
5408120, MCT N/S 0.6ML NAT 500/PK, 11.63, 11.63, 11.66, 11.66
5408129, MCT N/S 1.5ML NAT 500/PKMCT, 11.37, 11.37, 11.4, 11.4
5408137, MCT N/S 1.5ML AST 500/PKMCT, 12.15, 12.15, 12.18, 12.18
5408138, MCT N/S 2.0ML NAT 500/PKMCT, 13.25, 13.25, 13.29, 13.29
5408151, FLEX RND 400/CS, 25.73, 25.07, 24.79, 
5412421, EPPENDORF REFERENCE. 2 SINGL, 450.87, 460.93, 460.93 (matched with similar item: 05412429), 
5412505, SMARTBLOCK 1.5 ML, 813.93, 815.2, , 
5412506, SMARTBLOCK 2.0 ML, 853.09, , , 
5413919, TUBES 25ML SCREW CPSTARTSTER, 128.35, 128.35, , 
5413921, TUBES 25 MLSCREW EPPQ 200, 77.48, 77.27, , 
5413923, TUBES 25 MLSCREW STERIL200, 87.59, 87.59, , 
5413924, TUBES 25 MLSNAP EPPQ 200, 69.46, 69.46, , 
5413940, EPDUALFILTER.1-10UL M PCRST960, 156.1, 156.1, , 
5526B, 50MLTBE PP\FLATTP\GRD\S 500CS, 307.36, 267.87348, 275.59, 276.84
552790, CENT TUBE 15ML W/CAP 500/CS, 197.38, 169.33212, 174.21, 175.0
5529D, CENTRIFUGE TUBE PC 85ML 10/PK, 164.15, 152.93, , 
553841A, CENT TUBE DISP S/T 50ML 72/CS, 115.92, 115.92, , 108.39
553851, 15MLTBE PET/PLG/ST/GRD RK500CS, 237.26, 202.5648, 208.4, 209.34
553853D, CENT TUBE 15ML PP DISP 500/CS, 235.4, 197.316, 202.25, 203.16
553853F, CENT TUBE 15ML PP DISP 500/CS, 224.89, 190.71612, 196.21, 197.1
553855, 50MLTBE PP\PLGSL\GRD\S 500CS, 312.64, 268.84547999999995, 276.59, 277.84
553855A, 50MLTBE PP PLGSL GRD S 500CS, 300.08, 282.01, 290.13, 273.68
553859A, TB 15ML CLR PP FLAT CAP 500/CS, 224.51, 191.44512, 196.96, 197.85
553859B, TB 15ML CLR PP FLT BULK 500/CS, 216.59, 185.78807999999998, 191.14, 192.0
553860, 50MLTBE PP\FLATTP\GRD\S 500CS, 291.76, 254.41128, 261.74, 262.92
553868, CENT TB SLFSTN 50ML FLT 500/CS, 316.13, 274.74552, 282.66, 283.94
5539094, CELLSTACK 1 STACK PS S 8/CS, 532.07, 532.07, 547.4, 
5539095, CELLSTACK 2 STACK PS S 1/5 5CS, 409.63, 409.63, , 
5539096, CELLSTACK 10 STCK PS S 1/2 2CS, 603.39, 603.39, , 
553912, 15M TBE PP/FLT/ST/GRD RK500CS, 84.23, 70.95, 69.66, 69.66
553913, CNT TB PP FLTP 50ML BLK 500/CS, 93.99, 79.26, 77.74, 77.74
55394, CENT TBE PP SLV 15ML PG 500/CS, 80.98, 68.51, 66.98, 66.98
55395, CENT TBE ST PP RK 15ML 500/CS, 83.83, 70.76, 69.33, 69.33
55396, CENT TBE ST PP RK 50ML 500/CS, 96.63, 81.63, 79.92, 79.92
55397, CENT TBE ST PP BK 50ML 500/CS, 93.59, 79.08, , 77.41
55398, CENT TUBE PP FLTP 50ML 500/CS, 96.3, 81.11, 79.64, 79.64
55406, CULT TUBE-STER 17X100MM 500/PK, 190.32, 190.09, , 
55513, DILUTION VIAL TRAY 250/CS, 79.7, 72.33, 71.11, 
55537, HISTOWARE 20ML W/FORMLN 100/CS, 149.0, , , 
556216B, CENT TUBE OAKRG FEP 50ML 2/PK, 131.19, 122.02, 118.29, 111.44
556216C, CENT TUBE OAKRG FEP 10ML 2/PK, 81.14, 75.53, 73.5, 69.28
55641, CENT BTL W/CAP 250ML PPCO 4/PK, 131.46, 122.11, 118.42, 111.71
55642, CENT BTL W/CAP PC 500ML 4/PK, 302.58, 59.29 (matched with similar item: 14375356), , 184.53
55643, CENT BTL W/CAP PPCO 500ML 4/PK, 173.26, 160.89, 156.22, 147.62
557920, CENT BOTTLE PC 250ML 4/PK, 144.29, 134.05, , 
5713386, PURADISC 25 AS 0.2 UM 50/PK, 105.78, 105.78, 108.83, 106.51
5713387, PURADISC 25 AS 0.45 UM 50/PK, 106.42, 106.42, , 107.15
57144, CHROMATOG PAP 46X57CM 100SH/PK, 112.38, 116.02, , 
57145, CHROM PPR 3MM 46X57CM 100/PK, 393.09, 393.09, 376.9, 
5715121, 903 PROTEIN SAVER US 100/PK, 215.23, 214.4, , 217.87
57163F, CHRM PPR WH3MM 35X45CM 100/PK, 213.39, 213.39, 204.22, 
5719106, VIAL CLR ECONO PK 40ML 144/CS, 308.66, 302.65, 294.85, 
5719270, JAR W/M TALL CERT 250ML 12/CS, 81.17, 79.54, 77.44, 
